,value
2023-01-01,-1.7356583280026996
2023-01-02,-0.021404911041878527
2023-01-03,0.5478359678802532
2023-01-04,-0.03687545551232985
2023-01-05,1.543286601673043
2023-01-06,0.41087751978548703
2023-01-07,1.104194003197041
2023-01-08,3.450482696755423
2023-01-09,1.812822375227412
2023-01-10,2.038001794875249
2023-01-11,4.765848233461625
2023-01-12,1.7125070578659753
2023-01-13,2.6049541097824584
2023-01-14,3.9629738594034194
2023-01-15,4.667693569071778
2023-01-16,4.190554023467769
2023-01-17,3.4430985927119657
2023-01-18,4.384911288999652
2023-01-19,4.476377758910756
2023-01-20,4.50483843969369
2023-01-21,2.1173608479333215
2023-01-22,4.513341474499842
2023-01-23,4.298642611425234
2023-01-24,4.576193064567689
2023-01-25,6.368220383941443
2023-01-26,3.2719341820577545
2023-01-27,4.7296748809585285
2023-01-28,4.500303918491486
2023-01-29,5.423207909798648
2023-01-30,4.135081576825295
2023-01-31,4.298897686585705
2023-02-01,2.9009020740795792
2023-02-02,2.680227110052728
2023-02-03,0.7423271861537746
2023-02-04,4.062881392768965
2023-02-05,3.065664616687392
2023-02-06,2.1883365396438452
2023-02-07,1.5202905850047952
2023-02-08,1.8275365737400666
2023-02-09,1.382281081709899
2023-02-10,1.1631560201416808
2023-02-11,1.520653339435769
2023-02-12,1.6903084544920333
2023-02-13,-0.7106386011956984
2023-02-14,0.7860104554731339
2023-02-15,1.743961178749596
2023-02-16,-1.1184696173180189
2023-02-17,-0.6476924264496214
2023-02-18,-0.6350238525900813
2023-02-19,-1.1981678413338135
2023-02-20,-1.8196468492108797
2023-02-21,-1.6823348947703165
2023-02-22,-2.4037309479972255
2023-02-23,-2.6204900941220277
2023-02-24,-1.5409892928428577
2023-02-25,-2.457150129191574
2023-02-26,-2.800912248771669
2023-02-27,-3.817977819295475
2023-02-28,-4.362513507870327
2023-03-01,-1.6973370119702944
2023-03-02,-0.42159627720810056
2023-03-03,-3.923169629371798
2023-03-04,-4.863305813834923
2023-03-05,-4.075137767395322
2023-03-06,-2.6115004179068126
2023-03-07,-3.47422537923603
2023-03-08,-5.088582757741897
2023-03-09,-3.6801776023102875
2023-03-10,-5.290089883703601
2023-03-11,-4.405213728522753
2023-03-12,-3.1749089108444757
2023-03-13,-5.8409575212569305
2023-03-14,-4.187955499170801
2023-03-15,-2.6805803809719118
2023-03-16,-4.866454694138792
2023-03-17,-2.6514557609969573
2023-03-18,-2.8232038505224994
2023-03-19,-3.3652194324569846
2023-03-20,-2.621694549118825
2023-03-21,-3.8415164105944717
2023-03-22,-2.623344006782841
2023-03-23,-2.4975408029333614
2023-03-24,-3.0803565542035134
2023-03-25,-1.9530205164247019
2023-03-26,-2.0063372381766946
2023-03-27,-0.7257316883310642
2023-03-28,-1.7671623893178423
2023-03-29,-2.084111129339589
2023-03-30,-1.2830303820829743
2023-03-31,1.1464773793002871
2023-04-01,0.15392384468240777
2023-04-02,-0.1902045570277301
2023-04-03,1.2033955643706045
2023-04-04,-0.8894713596986497
2023-04-05,1.6621872742673927
2023-04-06,1.5338294177622753
2023-04-07,2.32388728077349
2023-04-08,2.487714575985507
2023-04-09,2.98924114916704
2023-04-10,2.2264681618686155
2023-04-11,1.7604844368274732
