,value
2023-01-01 00:00:00,-0.6414800013557711
2023-01-01 01:00:00,1.9566980384923816
2023-01-01 02:00:00,-0.3749286914559757
2023-01-01 03:00:00,1.6789019108642207
2023-01-01 04:00:00,
2023-01-01 05:00:00,
2023-01-01 06:00:00,
2023-01-01 07:00:00,0.4974849681792102
2023-01-01 08:00:00,2.2848061058021187
2023-01-01 09:00:00,
2023-01-01 10:00:00,
2023-01-01 11:00:00,
2023-01-01 12:00:00,
2023-01-01 13:00:00,
2023-01-01 14:00:00,
2023-01-01 15:00:00,0.8474468746627472
2023-01-01 16:00:00,2.392373468084527
2023-01-01 17:00:00,1.4212217772428943
2023-01-01 18:00:00,3.602901834299492
2023-01-01 19:00:00,2.3450317760933688
2023-01-01 20:00:00,
2023-01-01 21:00:00,
2023-01-01 22:00:00,
2023-01-01 23:00:00,0.7396007019061073
2023-01-02 00:00:00,2.898643243384838
2023-01-02 01:00:00,2.1755951332127927
2023-01-02 02:00:00,3.0278427988200414
2023-01-02 03:00:00,0.8945431391469085
2023-01-02 04:00:00,3.013364938728345
2023-01-02 05:00:00,3.4751675846728602
2023-01-02 06:00:00,5.254200156342611
2023-01-02 07:00:00,3.109241968877642
2023-01-02 08:00:00,2.8760222869253287
2023-01-02 09:00:00,3.2917486202797117
2023-01-02 10:00:00,2.626323817902506
2023-01-02 11:00:00,3.9572049085013545
2023-01-02 12:00:00,3.8334004581921803
2023-01-02 13:00:00,2.953386840995189
2023-01-02 14:00:00,4.4700363432077
2023-01-02 15:00:00,4.622311550091897
2023-01-02 16:00:00,4.270943361241345
2023-01-02 17:00:00,4.221116051353794
2023-01-02 18:00:00,4.126258253452984
2023-01-02 19:00:00,4.33373729062192
2023-01-02 20:00:00,5.008576779597474
2023-01-02 21:00:00,3.943426285210778
2023-01-02 22:00:00,3.0804191413386524
2023-01-02 23:00:00,4.929278597446574
2023-01-03 00:00:00,5.047963801291558
2023-01-03 01:00:00,1.944404654558257
2023-01-03 02:00:00,
2023-01-03 03:00:00,
2023-01-03 04:00:00,7.006124055253185
2023-01-03 05:00:00,5.762191303611219
2023-01-03 06:00:00,4.879083904298372
2023-01-03 07:00:00,5.975181230288886
2023-01-03 08:00:00,
2023-01-03 09:00:00,7.508348630388842
2023-01-03 10:00:00,6.31453344610591
2023-01-03 11:00:00,4.983128344891177
2023-01-03 12:00:00,4.918653828906704
2023-01-03 13:00:00,6.1807293813097175
2023-01-03 14:00:00,7.793460066696496
2023-01-03 15:00:00,7.569923798298832
2023-01-03 16:00:00,6.326378255735967
2023-01-03 17:00:00,5.131985594547574
2023-01-03 18:00:00,6.125766328158302
2023-01-03 19:00:00,4.870672115761566
2023-01-03 20:00:00,7.056722086687141
2023-01-03 21:00:00,8.060715535609509
2023-01-03 22:00:00,
2023-01-03 23:00:00,8.39824655377212
2023-01-04 00:00:00,6.10257026238045
2023-01-04 01:00:00,7.120449961275387
2023-01-04 02:00:00,7.948075166547343
2023-01-04 03:00:00,
2023-01-04 04:00:00,
2023-01-04 05:00:00,
2023-01-04 06:00:00,
2023-01-04 07:00:00,7.719487801228417
2023-01-04 08:00:00,8.720595312594678
2023-01-04 09:00:00,7.672735091629602
2023-01-04 10:00:00,10.007108789263484
2023-01-04 11:00:00,8.753450342221404
2023-01-04 12:00:00,8.33284023545204
2023-01-04 13:00:00,8.950804457272747
2023-01-04 14:00:00,7.526822261014421
2023-01-04 15:00:00,9.444126349977466
2023-01-04 16:00:00,7.986755560549941
2023-01-04 17:00:00,9.799250844771494
2023-01-04 18:00:00,8.32615729593898
2023-01-04 19:00:00,9.330807978057871
2023-01-04 20:00:00,10.08019019785906
2023-01-04 21:00:00,8.659179701625195
2023-01-04 22:00:00,10.405449677131053
2023-01-04 23:00:00,9.391614878028808
2023-01-05 00:00:00,10.294949754872476
2023-01-05 01:00:00,9.946697359043783
2023-01-05 02:00:00,9.552298739718914
2023-01-05 03:00:00,9.413430733652335
