title,bedrooms,price,location,post_time
SUPER SUNNY 2 BDRM PENTHOUSE AVAILABLE IN PRIME BUSHWICK*PRIVATE PATIO,,"$3,150",bushwick,1/18
SUPER SUNNY/ SPACIOUS 3 BDRM AVAILABLE IN BEDSTUY***ASAP MOVE IN***,,"$2,995",bedford stuyvesyant,1/18
LUXURY 1 BDMR APT AVAILABLE IN PRIME ASTORIA***LOTS OF AMENITIES***,,"$2,934",astoria,1/18
MODERN 2 BDRM GEM AVAILABLE IN BEDSTUY**ASAP MOVE IN***GREAT LOCATION,,"$2,695",bedford stuyvesyant,1/18
4 Bedroom Duplex for rent,,"$2,950",new rochelle,1/18
Finally you can end your search with this one see it for yourself,,"$1,600",sunnyside,1/18
✩Your friends will be jealous sunny and spacious✩,,"$2,799",dekalb ave - l train,1/18
one family home,,"$3,000",springfields gardens,1/18
Beautiful 1 flex 2 bed apt across from Brower Park Prime Crown Heights,,"$2,358",crown heights,1/18
PRIME KIPS BAY LARGE LIVING SPACE 29 ST BET 2ND & 3RD AV,,"$3,395",murray hill,1/18
"RENOVATED 1 BR -  NO FEE - UTILITIES INCL,- 1 BLK FROM LIGHT RAIL!",,"$1,995",jersey city,1/18
1 Bedroom - Ready to move in!!,,"$1,800",sunnyside,1/18
2 bedroom apartment on the Upper East Side. NO FEE,,"$3,295",upper east side,1/18
Renovated 2br 1bath Crown Heights,,"$3,000",crown heights,1/18
"1 BEDROOM - No credit, no problem!!!",,"$1,800",sunnyside,1/18
Large 1 Bedroom in Crown Heights! Video available!,,"$1,795",crown heights,1/18
If you ♥♥ SPACE & just see this - you’ll know!,,"$3,299",ridgewood,1/18
1 BEDROOM - Easy approval process!!!,,"$1,800",sunnyside,1/18
Spacious 1BD/1BA With W/D In-Unit & Open Views! Luxury. NO FEE! New,,"$3,800",prospect heights,1/18
Studio by 61st Street & Roosevelt Avenue,,"$1,650",woodside,1/18
MASSIVE 4 bed 2 bath @ Maria Hernandez Park!! *No fee*,,"$4,200",brooklyn,1/18
No Fee * Renovated 1 Bed 1 Bath in Astoria *Elevator & Laundry in,,"$2,675",astoria,1/18
Brand new 3 bedroom -2 bathrooms- hasa CityFheps,,"$3,000",bronx,1/18
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,,"$2,500",flatbush,1/18
🌟Massive Crown Heights 3 bed 2 bath! $3200!,,"$3,200",crown heights,1/18
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/18
🌟 Massive 3 Bedroom Apartment! Prospect Park! King sized room! $2900,,"$2,900",brooklyn,1/18
🌟 Awesome 2 Bedroom Apartment located in Bedstuy! $2500,,"$2,500",bedstuy,1/18
2 BATH ☼☼☼ APARTMENT W A BACKYARD!,,"$2,775",bushwick,1/18
KIPS BAY BRIGHT 🌞 LAUNDRY ELAVATOR 29ST &2ND AVE,,"$2,675",murray hill,1/18
Spacious 3  bed 1 bath apt in PLG,,"$2,850",plg,1/18
SPACIOUS 2 bed @ BUSHWICK with GYM/ BACKYARD/ WIFI!! No fee,,"$2,600",brooklyn,1/18
KING SIZED Modern 1 bed apt at BUSHWICK!! **No fee**,,"$2,400",brookyln,1/18
