title,bedrooms,price,location,post_time
LUXURY STUDIO FINANCIAL DISTRICT,,"$3,000",financial district,1/9
Apartamento 3 habitación 1 baño,,"$3,000",corona,1/9
Spacious 1 bedroom Duplex in Crown Heights,,"$2,500",brooklyn,1/9
Apartamento 2 dormitorio,,"$1,600",fresh meadows,1/9
"Amazing Studio in a DM, Elevator, Condo Finishes in  FiDi.",,"$2,800",financial district,1/9
Steps to Pratt!! 4 Bed-2 Bth🔥,,"$4,765",clinton hill,1/9
INCREDIBLY CHIC&STYLISH THREE BEDROOM TWO FULL BATH BALCONY MUST SEE,,"$2,350",ozone park,1/9
Huge 2 Bed Duplex with windows in basement/amenities building/GYM/AC/,,"$4,500",east williamsburg,1/9
Spacious & sunny 2 bed with dishwasher off the Fresh Pond M stop!,,"$2,675",ridgewood,1/9
Affordable furnished and sunny 1 bedroom apt - short-term sublet,,"$1,432",harlem / morningside,1/9
No Fee! Huge 4 Bed 1.5 Bath - W/D In Unit- Private Garden,,"$3,895",brooklyn,1/9
3 bed on Tapscott Is Ready!,,"$3,100",brownsville/east flatbush,1/9
2 bed in NJ's best complex!! Great Amenities! No Fee!!,,"$4,608",wehawken,1/9
Newly renovated 2 Bedroom Apartment,,"$2,000",mount vernon,1/9
SUNNY Studio! Laundry in building!,,"$1,650",east harlem,1/9
Specious Studio full Kitchen with plenty of sunlight. Close to Subway.,,"$3,295",murray hill,1/9
Private Garden! No stairs! Huge apartment!,,"$2,799",harlem / morningside,1/9
Steps from City College! Absolute Steal!,,"$2,250",harlem / morningside,1/9
Newley renovated apartment in a private house,,"$3,150",bronx manor,1/9
HUGE 3 BEDROOM CROWN HEIGHTS,,"$3,300",brooklyn,1/9
Luxury 1 Bed in Port Imperial! Great Amenities! NO FEE!!,,"$2,998",port imperial,1/9
2 Bed 1.5 Bath Duplex NO FEE,,"$3,300",bushwick,1/9
SPACIOUS 2 bed @ BUSHWICK with GYM/ BACKYARD/ WIFI!! No fee,,"$2,700",brooklyn,1/9
Large Bedrooms Modern Kitchen near 3/4 train,,"$2,400",crown heights,1/9
Awesome 2 Bed in Fort Lee!! Great Views!!No Fee!!,,"$4,313",fort lee,1/9
2 Bedrooms 1- Bathhroom,,"$2,300","holliswood, hollis",1/9
3 bed 2 bath Duplex w/ Private Yard!!!,,"$3,250","weeksville, brooklyn",1/9
"Private house for rent , 2nd floor, Great area!",,"$2,900",homecrest @ b & q ave u,1/9
No Fee - Brand New 2 Bed 2 Bath - W/D In Unit + Private Rooftop,,"$5,041",brooklyn,1/9
No Fee New 3 Bed 2 Bath W/D In Unit+ Private Terrace,,"$5,375",brooklyn,1/9
Spacious No Fee 4 Bed 2 Bath In Prime Crown Heights,,"$3,500",brooklyn,1/9
Stunning studio located in Battery park.,,"$3,000",financial district,1/9
"LARGE 3 bd/2ba w/ Private BackYard🌺A,C,3,4 Trains! 🌺No Fee!",,"$3,250","crown heights, brooklyn",1/9
Room for rent in the heart of Bushwick,,$950,brooklyn,1/9
1 bedroom apartment,,"$2,000",lawrence,1/9
Large 3 Bedroom Apartment- Available for Rent!,,"$2,180",park hill - yonkers,1/9
Large Studio Apartment - Available for Rent,,"$1,400",park hill - yonkers,1/9
Large 2 Bedroom Apartment!,,"$1,700",park hill - yonkers,1/9
Large 2 Bedroom Apartment!,,"$1,650",park hill - yonkers,1/9
NO FEE Huge Renovated Upper East Side Luxury 1BD - Pets Friendly!,,"$3,692",upper east side,1/9
House for rent in great location!,,"$3,500","staten island, willowbrook",1/9
Brand New 1 Bedroom Apartment - For Hasa,,"$2,100",bronx zoo area,1/9
Studio apartment with private outdoor space. NO FEE,,"$3,100",midtown east,1/9
Massive loft 2 bed washer in unit/no fee/gym/Roof,,"$3,700",williamsburg,1/9
Stunning Studio-Brand New-Gym-Laundry-JMZ-G trains-Amenities,,"$3,300",williamsburg,1/9
"NO FEE! LUXURY BUILDING, 2 BED 2 BATH WITH LAUNDRY (W/D) IN UNIT +WALK",,"$5,500",dumbo,1/9
NO FEE!! DEAL. LUXURY BUILDING>3 bed (Flex 4). 2 Bath/ W/D in Unit. St,,"$7,300",midtown east,1/9
GORGEOUS 3 bed 3 bath @ GREENWOOD!! W/D in unit,,"$3,400",brooklyn,1/9
Large Ground Floor 3 Bedroom Apartment For HASA,,"$3,000",jamaica - queens,1/9
MASSIVE 3 bed 2 bath in PRIME Crown Hights!! *in unit laundry* No fee,,"$3,100",brooklyn,1/9
AMAZING 2 bed plus HUGE basment @ PRIME BUSHWICK!! **No fee**,,"$3,300",brooklyn,1/9
NO FEE Renovated Midtown East Beekman Pl Studio - FT DM Bldg,,"$3,000",midtown east,1/9
No Fee Holiday Special!!!!,,"$3,700",battery park,1/9
Amazing 2 Bed 1 Bath available now!,,"$2,030",brownsville,1/9
**STUNNING 3 BED/ 2 BATH DUPLEX IN BED-STUY**NO FEE**,,"$3,300",bedford-stuyvesant,1/9
Cozy 1 Bedroom in Eltingville,,"$1,300",staten island,1/9
Beautiful studio apartment on the Upper East Side,,"$2,350",upper east side,1/9
MASSIVE 5 BEDROOM 2 BATH IN PRIME BEDSTUY**NO FEE,,"$3,600",bed-stuy,1/9
"Warm cozy Downtown 1 Bedroom with terrace , Newly Renovated building,",,"$5,000",financial district,1/9
Asap move in 2 bed + office 1 bath apt in Williamsburg near Domino Park,,"$4,700",williamsburg,1/9
"Wonderful apartment in great neighborhood in Crown Heights, $850",,$850,brooklyn,1/9
Luxury 2bed/2bath** Washer/dryer in unit ** Open layout ** City Views,,"$5,190",long island city,1/9
2157 #4 Beautiful modern apartment in prime Brownsville!,,"$2,395",crown heights,1/9
1 BED WITH HOME OFFICE  LUXURY 24 HOUR DOORMAN/ELEVATOR BUILDING! FREE,,"$4,800",financial district,1/9
"Spacious downtown Studio, Newly Renovated",,"$3,800",financial district,1/9
"3 Bed, 2 Bath Williamsburg Apartment with Private Backyard",,"$4,945",brooklyn,1/9
LARGE STUDIO FLEX 2 FIDI,,"$3,500",financial district,1/9
FANTASTIC RENT STABILIZED APT WITH W/D INSIDE FOR ONLY $1995,,"$1,995",inwood / wash hts,1/9
Luxury 2 bed/2bath**Washer/Dryer in unit**No Broker fee**LIC,,"$5,100",long island,1/9
"Downtown City View Studio, Newly Renovated",,"$3,500",financial district,1/9
Beautiful 2 Bedroom in Bridgeport! Coleman Apts.,,"$1,750",bridgeport,1/9
No Fee—1BR Apartment near McCarren Park w/ HUGE PRIVATE DECK,,"$3,778",williamsburg,1/9
TOP FLOOR=GREAT LIGHTING=RENOVATED=OAK WOOD FLOOR=CUSTOM MADE KITCHEN,,"$2,825",financial district,1/9
FIDI FLEX 3 24H DOORMAN,,"$4,600",financial district,1/9
NO WAY!MASSIVE=TOP FLOOR= FREE GYM=BAMBOO WOOD FLOORS=HIGH CEILINGS,,"$2,695",financial district,1/9
CONDO FINISHES!TOP FLOOR=LUXURY HIGH RISE=12 FT CEILINGS=LARGE CLOSETS,,"$2,700",financial district,1/9
"No Fee 2BR w/ Exposed Brick in Bushwick near (L), Irving Square Park!",,"$2,700",bushwick,1/9
No Fee Clinton Hill 2BR + Basement / Backyard Near Pratt,,"$3,200",clinton hill,1/9
Renovated 1BR Apt Near Columbia University & CCNY,,"$2,800",harlem / morningside,1/9
**APARTMENT FOR RENT IN LYNBROOK**,,"$3,500",lynbrook,1/9
BACK ON THE MARKET!! 3 BED 2 BATH w/d in unit,,"$3,150",brooklyn,1/9
**HOUSE FOR RENT IN BALDWIN**,,"$3,999",baldwin,1/9
CHEAP THREE BED FLAT -  AVAILABLE NOW😳😳,,"$2,550",ocean hill,1/9
Williamsburg - Luxury 3 Bed - Large Deck - Waterfront views - Gym…,,"$6,400",williamsburg / greenpoint,1/9
3 Bed 1 Bath/Dishwasher/ *NO FEE*,,"$2,550",bushwick,1/9
3 Bed 2 Bath// W/d in bdlg***NO FEE**,,"$3,150",ridgewood,1/9
