title,bedrooms,price,location,post_time
Brand New 2 bed/2 bath in Bedstuy Blocks from Herbert Von King Park!,,"$3,200",brooklyn,2/3
NO FEE LARGE TRUE TWO BED IN PRIME WILLIAMSBURG W/AMENITIES,,"$4,200",williamsburg,2/3
Bonito Y Comodo (2 Habitaciones) Cerca de Trenes y Buses !! Listo Hoy,,"$2,200",ozone park / howard beach / woodhaven / crossbay,2/3
Cozy ( 2 Bed ) Close To Bus & Trains !! *JFK 10 Mins Away* LIMITED*,,"$2,200",ozone park / howard beach / woodhaven / crossbay,2/3
"1 Bedroom + Office w/ Dishwasher, Washer/Dryer, HW Floors & More",,"$2,600",gowanus,2/3
"Stainless ( 1 Bed ) TOP FLOOR, E/F Trains | Elevator/Laundry",,"$2,175",briarwood / kew gardens / forest hills / rego park,2/3
Apartamento 1 dormitorio,,"$1,800",fresh meadows,2/3
LIC-Studio-no fee-Amenities-GYM-3 Lounges/Laundry/Roof/Bike/AC/Dish,,"$2,625",lic,2/3
No Fee 3 bed/2 bath Garden Duplex in Crown Heights,,"$3,250",brooklyn,2/3
"Renovated, Sunny Bed Stuy 3 Bedroom 1 Bath",,"$2,800",bedford stuyesant,2/3
Converted 2 Bed---Downtown Flushing---Amazing Balcony!,,"$2,200",flushing,2/3
"Jumbo 2 Bed + 1.5 Bath + Balcony, By E/M/R Trains | Elevator/Laundry",,"$2,650",rego park / forest hills / briarwood / kew gardens,2/3
"Bright, Quiet Studio Apartment on 2-Acre Property",,"$1,775","south salem, ny",2/3
Huge Studio in Hudson Heights - Elevator / No Fee - Separate Kitchen,,"$1,750",inwood / wash hts,2/3
🌟 Bushwick 3 bed 1.5 Bath and Backyard! $3200,,"$3,200",bushwick,2/3
1102 Jefferson Avenue #1A,,"$3,100",brooklyn,2/3
GUT RENO!! STUDIO!! ON THE PARK!! PRIME LOCATION!!,,"$1,950",brooklyn,2/3
NO FEE TRUE BED IN BUSHWICK W/DISHWASHER,,"$2,600",bushwick,2/3
"Jumbo (Studio) By E/M/R Trains | Elevator/Laundry, Utilities Included",,"$1,850",rego park / forest hills / briarwood / kew gardens,2/3
"Jumbo ( Studio ) By E/F Trains | Elevator/Laundry, Utilities Included",,"$1,775",briarwood / kew gardens / forest hills / rego park,2/3
"Gorgeous (1 Bed) By E/F Trains | Elevator/Laundry, Utilities Included",,"$1,950",briarwood / kew gardens / forest hills / rego park,2/3
Stunning ( 2 Bed ) Duplex W/ Roof Deck ! Easy Access to A/C/J/L Train,,"$2,250",east ny / bushwick / ocean hill / bedford stuyvesant,2/3
Gorgeous 3Bed/1Bath with W/D in unit Prime Crown Heights! Franklin ave,,"$3,450",crown heights/franklin ave,2/3
Renovated studio apartment available in Clinton Hill!!,,"$2,350",clinton hill,2/3
🟥HOT DEAL🟩Maria Hernandez Park 3BR/2BATH Laundry In Apt @L/M Train,,"$3,299",bushwick/williamsburg,2/3
--WATER VIEW APARTMENT--SKY RISE LUXURY BUILDING,,"$2,900",financial district,2/3
--WATER VIEW APARTMENT--SKY RISE LUXURY BUILDING,,"$2,900",financial district,2/3
1 BED FULL SERVICE BULIDING WASHER DRYER IN UNIT,,"$4,800",downtown,2/3
Huge 1 Bedroom w/Balcony *FURNISHED* in Clinton Hill,,"$3,400",brooklyn,2/3
Brand New 2Bed 1Bath W/Laundry in unit! Steps to Franklin Ave!,,"$3,095",crown heights/franklin ave,2/3
2 Bedroom w/ Hardwood Floors & Pets Accepted Upon Approval,,"$2,600",kensington,2/3
Charming Sunny JR 1Bed/1Bath in Brownstone Prime Boerum Hill,,"$2,551",clinton hill,2/3
🔴MASSIVE🟢Large 2BR/2Bath Duplex/Private Backyard No Fee 3/4Train,,"$2,799",crown heights,2/3
Completely Renovated New 2Bedroom/1 Bath,,"$2,800",glen cove,2/3
Brand new Bsmt studio $1300 available NOW,,"$1,300",astoria,2/3
* IN UNIT LAUNDRY * DISHWASHER * BALCONY * 1 BED,,"$2,599",crown heights,2/3
NO FEE!! LUXURY STUDIO HOME OFFICE!! LARGE. GOOD DEAL!!,,"$3,000",financial district,2/3
LUXURY BUILDING. 1 BED CAN BE FLEXED INTO 2 BED!! GOOD DEAL!!,,"$4,100",financial district,2/3
LUXURY BUILDING. 1 BED CAN BE FLEXED INTO 2 BED!! GOOD DEAL!!,,"$4,000",financial district,2/3
FOUR FAMILY BROWNSTONE FOR RENT,,"$12,500",clinton hill/bed-stuy border,2/3
CROWN HEIGHTS~NO FEE!~DUPLEX~PRIVATE BACKYARD~PRIVATE GARAGE/STUDIO~WA,,"$7,250",crown heights,2/3
3 Bed - 2 Bath (1 Month Free),,"$3,208",bed-stuy,2/3
Huge 3BR Apt in Washington Heights / New Bathroom!  NO Fee,,"$2,400",inwood / wash hts,2/3
Mosholu - Large 2BR Apt - Elevator / NO Fee,,"$1,995",mosholu area,2/3
Fully Furnished Bedroom with Bathroom for Rent,,"$1,250",glen head,2/3
MIDDLE VILLAGE~NO FEE!~NEWLY RENOV~VIRTUAL TOURS~PARKING AVAILABLE~M T,,"$2,350",queens,2/3
Gorgeous Spacious One bedroom in the heart of Bay Ridge!!,,"$1,995",bay ridge,2/3
3 BED AVAILABLE IN CROWN HEIGHTS!! **GYM AND FURNISHED ROOFTOP!!**,,"$2,850",crown heights,2/3
2 BED PLUS LARGE BASEMENT AND BACKYARD IN CLINTON HILL!!!! **MUST SEE*,,"$3,000",clinton hill,2/3
HUGE 3 BED IN GOWANUS/PARK SLOPE!! **LAUNDRY IN BUILDING**,,"$4,200",park slope,2/3
"NO FEE!!RENT STABILIZED. LARGE UNIT,  2  Bed 1 Bath No Fee, w/ Free EL",,"$4,400",east village,2/3
RENT STABILIZED!! 2 Bed. Free Utilities Included (FREE  ELECTRIC)! Thi,,"$4,390",east village,2/3
NO FEE!! LARGE 3 BED+ALL UTILITIES INCLUDED (HEAT/HOT WATER AND ELECTR,,"$5,900",east village,2/3
"LOFT STYLE TWO BED, TONS OF LIGHT, HERKIMER",,"$2,950",crown heights,2/3
