title,bedrooms,price,location,post_time
studio 1 bathroom apartment located in the Heart of New Rochelle.,,"$1,450",new rochelle,1/28
PRIME WILLIAMSBURG PREWAR 1BR SPACIOUS PRICED TO RENT CALL ME ASAP,,"$2,699",brooklyn,1/28
SPACIOUS 4 BED / 2 BATH IN PRIME LOCATION ~ RIGHT OFF MYRTLE WYCKOFF,,"$3,800",ridgewood,1/28
STUNNING 2 BED WITH BALCONY! ~ AVAILABLE ASAP!,,"$2,800",bedford-stuyvesant,1/28
studio 1 bathroom apartment located in the Heart of New Rochelle.,,"$1,450",new rochelle,1/28
Charming Prime Crown Heights Studio  Exposed Brick,,"$2,000",crown heights,1/28
Renovated Bedford Stuyvesant 2 Bedroom Corner Windows,,"$2,500",bedford stuyvesant,1/28
1 Bedroom Apartment available,,"$1,600",woodside,1/28
"1st floor unit - patio, yard, 3 car parking - walk to MTNRR PETS OK!",,"$3,450",larchmont,1/28
Sunfilled Modern Top Floor Unit,,"$2,750",rye brook,1/28
"Top Floor Unit - 3 Family House - Eik, 1 car parking",,"$1,695",harrison,1/28
Spacious & renovated - lots of sunlight - walk to all,,"$2,135",harrison,1/28
spacious 2 bed/1 bed PLG- NO Fee,,"$2,600",prospect leffert gardens,1/28
spacious Bright Park Slope Apartment,,"$4,400",brooklyn,1/28
spacious 3.5 Bed/ 2 Bath in Prime Bedford-Stuyvasent,,"$4,200",brooklyn,1/28
Lower East Side Studio,,"$2,595",lower east side,1/28
2 Bed by Pratt!--AC/Laundry/Bike storage/Roof/G train,,"$2,800",clinton hilll,1/28
Williamsburg-3 bed 1.5 bth duplex-no fee/Laundry-Roof,,"$4,629",williamsburg,1/28
House for rent,,"$4,000","valhalla, ny",1/28
1 1/2 HIGH-END APT W/MANHATTAN VIEW IS  AVAIL NOW IN DOWNTOWN BROOKLYN,,"$4,860","boreum hill, cobble hill, brookly heights",1/28
3 bedroom apartment in Park Slope South Greenwood heights area,,"$2,595",park slope south 23rd street - greenwood,1/28
** NO Fee ** Large 3 Bedroom 2 Bath * PS144 in Forest Hills,,"$2,950",forest hills,1/28
Stunning 1 Bed-brand new building-GYM-storage-montrose L-no fee,,"$3,600",williamsburg,1/28
Huge new 2 bed w/massive living/gym/roof/AC/,,"$4,216",williamsburg,1/28
Brand new building-studio-1 and 2 beds-elevator-gym-no fee,,"$3,799",east williamsburg,1/28
**Bright under renovation spacious 2BR or 3BR!W shared outdoor space*,,"$2,600",crown hts,1/28
THE EAST FLATBUSH DELUXE,,"$2,400",east flatbush,1/28
Excellent 2BR Unit! W/ Huge Private Terrace**Steps to Franklin ave nit,,"$2,999",crown hts,1/28
SPACIOUS 1 BEDROOM *CLOSE TO SUNY DOWNSTATE MEDICAL SCHOOL,,"$1,900",prospect lefferts gardens,1/28
