title,bedrooms,price,location,post_time
Roslyn One Bedroom Apartment_Granite_Bathroom_Kitchen_LIRR,,"$2,995",roslyn,1/25
"$1,6oo XL STUDIO w/Rooftop ~ PETS OK!",,$1,10mins to manhattan - lowery st,1/25
"$2,8oo 2Bed 1Bath ~ 1st Floor ~ 1000sqr feet",,$2,near local+express #7 trains ~ no credit? no problem!,1/25
The Waterford DUMBO Luxury Apartments,,"$7,800",dumbo/vinegar hill,1/25
"$3,2oo 3Bed 2Bath w/BBQ.Pit+Yard+2.Balconies+Parking PETS OK!",,$3,near r+m+#7 trains- off broadway,1/25
"$3,9oo 3Bed 2Bath DUPLEX w/Yard+Deck+Garden+Dishwasher+W/D.Hookups+...",,$3,76th street off northern blvd - jackson heights/east elmhurs,1/25
2 Bed + Office 2 Bath Duplex w/ in unit Laundry🧱 Near A/C train🚝,,"$4,000","crown heights, brooklyn",1/25
NEW BUILDING/2 Bed 1 Bath/Studios/one bed NO FEE,,"$2,500",flatbush,1/25
"RENOVATED & MODERN 2 BED, Close to Subways!",,"$2,700",williamsburg,1/25
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,"$2,900",crown heights,1/25
CLINTONHILL//2 BEDROOM 1.5 BATHROOM/HUGE BASEMTNT// BACKYARD//NO FEE,,"$3,000",clintonhill,1/25
BRAND NEW SPACIOUS ROOM IN PRIME WILLIAMSUBURG,,"$1,600",williamsburg,1/25
4 bedroom at a 3 bedroom price,,"$2,400",yonkers,1/25
SUPER BRIGHT 3 BEDROOM IN PRIME BEDSTUY! MARCH 1st MOVE IN**NO FEE,,"$3,150",bed-stuy,1/25
spacious one bedroom avaiable now,,"$1,550",yonkers,1/25
Spacious one-bedroom apartment,,"$4,300",downtown brooklyn,1/25
Recently Renoovated_3Block/Subway _Elevator & Laundry_Small pets OK_,,"$2,799",astoria,1/25
HOUSE+2BDRM1BATH+TOPFLR+LIVINGRM+EATINKITCHEN+DISHWASHER+NEWSPACIOUS!!,,"$2,000",new dorp,1/25
"3 Bedroom Apartment, Near Wilton Center",,"$3,500","wilton, ct",1/25
Four Bedroom - Spacious Duplex,,"$2,500","yonkers, ny",1/25
Studio apartment in Floral Park Crest,,"$1,800",floral park,1/25
Beautiful 1BR in Black Rock!! Cypress Apts.,,"$1,705",bridgeport,1/25
"1 BED+ Home Office: Virtual Doorman, Laundry, Elevator",,"$3,500",financial district,1/25
Beautiful 2 Bedroom in Bridgeport! Coleman Apts.,,"$1,750",bridgeport,1/25
"2 BED FLEX 3  Brand New, Floor to Ceiling Glass",,"$6,000",midtown west,1/25
Renovated XL 2.5 Bed_Private Yard_Laundry_Private Entrance,,"$3,000",crown heights,1/25
PET OK*RIVERVIEW*HUGE*MINT COND.*CLOSE TO RR/SHOPS,,"$2,800",dobbs ferry,1/25
REAL 2 BEDROOM_Virtual Doorman_Laundry_Elevator,,"$4,400",financial district,1/25
Large 1bed/1bath Bushwick luxury apartment move-in March 1 or later,,"$3,050",bushwick,1/25
3BR / 1Ba 1500 sqft Apartment for Rent,,"$3,300",westchester square,1/25
No Fee *One Bedroom Apartment* Kitchen_Bath_Laundry_LIRR,,"$2,590",port washington,1/25
One Bedroom Apartment * Kitchen_Bath_Laundry_LIRR,,"$2,564",roslyn,1/25
"3br incl basement, 1 1/2 bath, all utilities included",,"$2,500",elmont,1/25
--WATER VIEW APARTMENT--SKY RISE LUXURY BUILDING,,"$2,900",financial district,1/25
Lovely 7 Bed Duplex-3 baths-G/S/C trains-No Fee-Rooftop,,"$5,500",bedstuy,1/25
**NO BROKER FEE**TOP FLOOR**WALLS ALLOWED**NATURAL LIGHT,,"$3,650",financial district,1/25
Spacious 1023 sq ft 2 bed and luxurious amenities at Apex at 290!,,"$3,495",elmsford,1/25
"Feb. 1 Cottage style, lofty, light  2 bed apartment",,"$3,900",prospect heights,1/25
WATER VIEW** TOP FLOOR **NO BROKER FEE**,,"$3,055",financial district,1/25
3 BDRM GEM IN SPACIOUS BEDSTUY BROWNSTONE***ASAP MOVE IN*** ACT FAST**,,"$2,995",bedford stuyvesyant,1/25
AMAZING DEAL! JUST MINUTES From MARIA HENANDEZ & Dekalb L  BIG LIVINGR,,"$2,900",bushwick,1/25
"Heart Of Bushwick!LIGHT! Window In Livingroom, PRIVATE 600ft DECK!!!!!",,"$3,200",bushwick,1/25
🔥Super nice new building-WASH/N/UNIT-2 bed-2 bth-Parking-Balcony,,"$2,892",bedstuy,1/25
Renovated 1 Bedroom,,"$2,000",queens,1/25
*INSANE DEAL*! 1 BED  UNDERPRICED! LOCATION!!!!!,,"$1,750",prospect park-lefferts gardens,1/25
2 Bedroom 1 Bathroom Apartment for rent in Greak Kills Staten Island,,"$2,000",greak kills staten island ny,1/25
GORGEOUS 1 BED 1 BATH IN CLINTON HILL FOR A SWEET PRICE! NO FEE!,,"$2,300",clinton hill,1/25
GORGEOUS 3 BED 2 BATH IN CROWN HEIGHTS!! IN-UNIT W/D & PRIVATE BALCONY,,"$2,950",crown heights,1/25
MASSIVE 4 BED 2 BATH IN GREAT BUSHWICK LOCATION! BIG ROOMS W/ NO FEE!,,"$3,700",bushwick,1/25
MASSIVE 3 BED 1 BATH BROWNSTONE IN BEDSTUY FOR A SWEET PRICE! NO FEE!,,"$3,150",bedstuy,1/25
3 bedroom furnished apartment for rent,,"$3,850",woodside,1/25
Upper East Side Studio Apartment,,"$2,395",upper east side,1/25
Upper East Side Wonderful 3 Bedroom Apartment,,"$4,195",upper east side,1/25
Huge 3BR on 90th Street in Bay Ridge near R subway!,,"$2,700",brooklyn,1/25
Brand new 3 BEDROOM 2 Bathroom- HASA WELCOME,,"$3,200",bronx,1/25
!!HUGE PRIVATE OUTDOOR ROOF DECK!!  !!STEPS TO RIVERSIDE PARK!!,,"$3,495",upper west side,1/25
3 bedroom Astoria,,"$3,200",queens,1/25
2 bedroom Astoria,,"$2,400",queens,1/25
3 bedroom Astoria,,"$2,350",queens,1/25
"⎷ ⎛LARGE 2 BEDROOM APT WITH LARGE DECK, W/D HOOK-UPS, NEWLY RENOVATED",,"$3,200",south slope,1/25
"⎷ ⎛LARGE 2 BEDROOM APT WITH LARGE DECK, W/D HOOK-UPS, NEWLY RENOVATED",,"$3,200",south slope,1/25
St. Marks 3 bedroom apt,,"$3,175",crown heights,1/25
"APARTMENTS FOR RENT IN THE BRONX, FAST APPROVALS!!!",,$100,bronx,1/25
