title,bedrooms,price,location,post_time
NO FEE ONE BEDROOM UNIT,,"$1,850",ozone park/woodahven,2/6
*Renovated* high end kitchen* high ceilings*  MUST SEE!,,"$4,799",nolita / bowery,2/6
Fantastic 2 bed 1.5 bath 1 laundry 1 LR 2 skylights 1 kitchen,,"$2,450",flushing,2/6
"Brand New 2Bed/1Bath Overlooking the park! B,Q Trains",,"$2,750",prospect park south,2/6
Sunkissed 2 bed 1 bath apt in elevator building,,"$2,500",farragut,2/6
"Studioroom, shared bath, 24hr doorman elev, elev $925 incl util! WOW!!",,$925,upper west side,2/6
HOUSE+3BDRM1BATH+BALCONY+TOPFLR+LIVINGRMHUGEOPENSPACESUNNYBRIGHT2GOCLI,,"$2,300",dyker heights,2/6
* NO FEE * IN UNIT LAUNDRY * HEAT&HW INCLUDED * 4 BED 1.5 BATH *,,"$3,199",brooklyn,2/6
Midtown West 2 Bedroom,,"$3,950",midtown west,2/6
"NO FEE+ 1 Month FREE RENT: Luxury 2 Bed,Elevator,Doorman,Gym,Laundry",,"$4,500",harlem / morningside,2/6
MARIA HERNANDEZ* 3 BEDROOM DUPLEX**PRIME LOCATION,,"$3,500",maria hernandez,2/6
Luxury Penthouse Studio (SKY) No Fee,,"$5,200",midtown west,2/6
BEAUTIFUL 3 BED 1 BATH IN PRIME CROWN HEIGHTS! LOTS OF LIGHT & NO FEE,,"$2,600",crown heights,2/6
HUGE 2 BED 1.5 BATH DUPLEX IN CLINTON HILL FOR A SWEET PRICE! NO FEE!,,"$2,800",clinton hill,2/6
MASSIVE 2 BED 1 BATH W/ PRIVATE YARD IN CROWN HEIGHTS! NO BROKER’S FEE,,"$2,500",crown heights,2/6
GORGEOUS 1 BED 1 BATH IN CLINTON HILL FOR A SWEET PRICE! NO FEE!,,"$2,200",clinton hill,2/6
"NO FEE+ 1 Month FREE RENT: Luxury 1 Bed,Elevator,Doorman,Gym,Laundry",,"$3,400",harlem,2/6
*STUNNING 2 BED 1 BATH IN LUXURY BUILDING! LOTS OF AMENITIES NO FEE!*,,"$2,400",farragut,2/6
large 1Br in the center of White Plains,,"$2,300",white plains,2/6
Apartment for rent,,"$1,400","dongan hills, staten island",2/6
HUGE 3 BED IN GOWANUS/PARK SLOPE!! **LAUNDRY IN BUILDING**,,"$4,200",park slope,2/6
2 BED PLUS LARGE BASEMENT AND BACKYARD IN CLINTON HILL!!!! **MUST SEE*,,"$3,000",clinton hill,2/6
3 BED AVAILABLE IN CROWN HEIGHTS!! **GYM AND FURNISHED ROOFTOP!!**,,"$2,850",crown heights,2/6
Sunny spacious king size 1br PRIME L.E.S lots of closets RARE find!,,"$2,299",lower east side,2/6
BRAND NEW! 2Bed/1Bath Prime prospect park south! Right by the park,,"$2,750",prospect park south,2/6
SPACIOUS*ALMOST NEW*LAUNDRY*DISHWASHER*PARKING*CLOSE TO ALL*CAT OK****,,"$1,995",white plains,2/6
Brand new 1br Hell's kitchen prime location W/D and dishwasher NO FEE!,,"$3,146",hell's kitchen,2/6
Gorgeous Brand New 1Bed/1Bath + Two private Balconies in Prime PPS!,,"$2,865",prospect park south,2/6
