title,bedrooms,price,location,post_time
Beautiful 4 Bedroom 1.5 Baths DUPLEX apartment in prime Bushwick area!,,"$4,499",bushwick,1/30
2 Bed Near City College & A/D/B/C/1 Trains!,,"$2,000",harlem / morningside,1/30
FURNISHED 2 Bed+PRIVATE YARD+Exposed Brick,,"$3,800",bedford stuyvesant,1/30
Prosp.ֶPark 1BR PREWAR  STABILIZED ready asap,,"$1,701",brooklyn,1/30
ASAP MOVE!  Roommate Call!! Lux building/ GYM/ROOF/PARKING/Near park!!,,"$1,325",crown heights/brooklyn,1/30
Renovated XL 2.5 Bed_Private Yard_Laundry_Private Entrance,,"$3,000",crown heights,1/30
3 BR MANUFACTURED HOME FOR RENT,,"$1,250","long beach, ms",1/30
Gorgeous 2 Bedroom on 44th Street! W. Parking,,"$2,500",sunnyside,1/30
Newly Renovated 2 Bedroom Pet-friendly: Parking Available,,"$2,500",sunnyside,1/30
Newly Renovated 2 Bedroom Pet-friendly: Parking Available,,"$2,500",sunnyside,1/30
No FEE STUDIO UES,,"$2,460",upper east side,1/30
1Bedroom,,"$2,795",upper east side,1/30
FREE RENT NO FEE WASHER AND DRYER,,"$2,996",financial district,1/30
2 FREE MONTHS 900 SQ FT WASHER AND DRYER,,"$4,038",financial district,1/30
"Very cute studio with dishwasher, prime West Vill",,"$2,300",west village,1/30
Large pre-war one bedroom in townhouse one flat up trendy Steinway,,"$1,850",astoria,1/30
2 BRs/2 Baths__2 Balconies__Elevator__Pet Ok SUNSET PARK INDUSTRY CITY,,"$2,900",sunset park @ industry city,1/30
🔥New Modern *Balcony *Rooftop *Central AC & Heat *NO FEE!,,"$2,800","bedford stuyvesant j,z,l, a,c, subways",1/30
Large *Private Backyard* ✨️Washer Dryer in Unit✨️ NO FEE!!,,"$2,400","bedstuy j,z,a,c, subaways",1/30
WOODLAWN 1 BLOCK TO WOODLAWN METRO-NORTH,,"$1,600",woodlawn bronx,1/30
"Private house - 2Br, LR, Modern eating kitchen",,"$2,500",east yonkers - cross county area,1/30
🔥Modern New Duplex *Private Backyard *Lots of Windows NO FEE!!,,"$2,750","bushwick right at j,z,a,l,c. subways",1/30
🔥HUGE Living Room ☀️Large Windows**RENT STABILIZED**🔥 NO FEE!!,,"$2,329",prime bushwick next to j&m trains,1/30
🔥Stunning new 3 bed-2 bath-Washer-n-unit/luxury bldg-,,"$6,200",vinegar hill,1/30
BRAND NEW! 3 Bedroom apartment in Bay Ridge - sunset park slope,,"$3,000",bay ridge,1/30
2 Bed-New Amenities-Elevator/Washer-n-unit-Balcony-Roof/nofee,,"$5,225",vinegar hill,1/30
You don’t need $$$ to live in a lux apt – find the perfect + NO FEE,,"$3,300",ridgewood/bushwick,1/30
[CONDO FOR RENT]800 Avenue At Port Imperial (real estate - by owner),,"$4,750",weehawken,1/30
Amazing and very SUNNY 4 bedrooms 3 baths duplex apt PLUS MASSIVE FINI,,"$5,950",bedstuy,1/30
BRAND NEW 3 BEDROOM 2 BATHROOMS. HASA CITYFHEPS WELCOME,,"$3,200",bronx,1/30
Amazing and very SUNNY 5 bedrooms 3 baths duplex apt PLUS MASSIVE FINI,,"$5,950",bedstuy,1/30
1 bedroom in Washington Heights🏙💎✨️,,"$1,650",inwood / wash hts,1/30
Great deal on a loft style apt in prime Bushwick!,,"$3,750",brooklyn,1/30
"$1,4oo STUDIO 1st Floor w/Yard+Driveway - PETS OK!",,$1,near local+express #7 trains ~ no credit? no problem!,1/30
Heart of Bayside,,"$1,350",bayside,1/30
*SUNLIT!*HUGE 2BR/1BTH*LUXURY ELEVATOR DOORMAN*UES!*,,"$4,312",upper east side,1/30
"$1,6oo XL STUDIO w/Rooftop ~ PETS OK!",,$1,10mins to manhattan - lowery st,1/30
