title,bedrooms,price,location,post_time
Great apartment for rent,,"$1,800",peekskill,1/11
"Brand New 2Bed/1Bath Overlooking the park! B,Q Trains",,"$2,850",prospect park south,1/11
RIGHT NEXT TO MARIA HERNANDEZ PARK** 2 BEDROOM**NE FEE,,"$2,800",maria hernandez park,1/11
1 Bedroom unit with stunning panoramic views Financial Distrcict,,"$5,762",financial district,1/11
"In ""Pelham Bay"" area,large 3 bed apt,all utilities included!",,"$2,800",colonial av(pelham bay),1/11
MASSIVE 2 BEDROOM+BASEMENT+BACKYARD*NEXT TO IRVING PARK*NO FEE,,"$3,200",prime bushwick,1/11
"In pelham pkway..1 bedroom apt,available!",,"$1,850",barker av(pelham pakway),1/11
UNDER PRICE!  2 BEDROOM IN BUSHWICK NEXT TO L TRAIN,,"$2,700",bushwick,1/11
Beautiful large 5 bedrooms apartment in N E bronx!,,"$3,945",e 232 st(bronxwood av),1/11
"Humongous Pre-war 1Bed/1Bath - in Prime Prospect Park South! B,Q Train",,"$2,295",prospect park south,1/11
"RENT STABILIZED, PRIVATE BACKYARD: 4 BED",,"$5,000",bed-stuy,1/11
2278 Strauss Street #3B,,"$3,250",brooklyn,1/11
2 Bed 2 Bath | Corner Unit | 950+ sq ft | WIC | W/D | Chelsea,,"$7,890",chelsea,1/11
"Renovated 1 Bed, 1 Bath (Duplex) Gramercy Park. W/D in-unit! Gym Bldng",,"$4,060",gramercy,1/11
2-BR apartment in quiet 2-family home. New floors and new appliances,,"$2,250",brooklyn,1/11
Purrrrrrrfect! Cats and dogs welcome at Apex at 290,,"$3,575",elmsford,1/11
2278 Strauss Street #3A,,"$2,600",brooklyn,1/11
2 BED 2 BATH FLEX 3 24 DOORMAN STEPS TO COLUMBUS CIRCLE- NO FEE,,"$6,000",midtown west,1/11
3 bedrooms 1 bath fully renovated Bensonhurst,,"$3,200",brooklyn,1/11
Casa entera en renta,,"$4,600",fresh meadows,1/11
"MIDDLE VILLAGE , LARGE 3 BEDROOMS, 2 BATHS APT 1,350 SQF, 2 BLKS SUBWY",,"$2,650","66-80 69 street middle village,ny",1/11
124 Ridge Street,,"$3,295",new york,1/11
"Great 2 bed, 2 bath and your own private washer/dryer! Visit today!",,"$3,425",elmsford,1/11
Large 2 Bedroom facing Prospect Park! Steps to the Q Train!,,"$2,850",prospect park south/prospectpark,1/11
NO FEE 1 BED  W/D Luxury Modern Building. Amenities.,,"$4,100",midtown west,1/11
1 bedroom 1 bathroom apartment available,,"$1,600",highbridge,1/11
**2-FAMILY HOUSE FOR RENT IN VALLEY STREAM**,,"$4,500",valley stream,1/11
"3 BED/ 2 BATH - ELMHURST- 2 TERRACES, M/R TRAIN/MALL/SHOP $2,750/M",,"$2,750","57-06 van horn street 3rd floor elmhurst, n",1/11
Temporary housing,,$200,bethel,1/11
NO FEE Lux 3 Bedroom W/Washer-Dryer,,"$3,153",new york,1/11
No fee!- Large 2BR in a Central Williamsburg location!- By the Sway!,,"$3,300",williamsburg,1/11
Gorgeous two bedroom ASAP MOVE IN,,"$2,775",buschwick,1/11
LARGE TRUE 1 BEDROOM IN LUXURY DOORMAN MIDTOWN BUILDING,,"$3,300",midtown,1/11
Huge sunny loft close to L in Prime Bushwick+laundry+Roof,,"$2,450",bushwick @ jefferson l,1/11
4 bedrooms 2 baths fully renovated with balcony,,"$3,200",bergen beach,1/11
"Washer and Dryer, Doorman, Elevator in Building Hudson Yard!",,"$3,332",midtown west,1/11
