title,bedrooms,price,location,post_time
Large 2 Bedrooms with New Kitchen on Top Floor Overlooking the Park,,"$2,850",prospect park south / flatbush / ditmas park,1/11
Nicely Renovated 1BR w/ New Kitchen in Prospect Heights,,"$2,595",prospect heights,1/11
25TH STREET AND 31TH AVE 3 BEDROOMS NEAR N Q  TRAIN AND 30MIN TO N Y C,,"$2,500",astoria,1/11
Cozy Studio Gramercy Park,,"$2,980",new york,1/11
Beautiful 3Bd Near The Park**Large Windows**Spacious Layout**Updated Kitchen,,"$4,200",windsor terrace,1/11
Large renovated 1 Bedroom apartment available in Midwood!!,,"$1,899",midwood,1/11
"Light, Airy 1-Bedroom Downtown Westport",,"$3,000",westport,1/11
Single room for rent,,$800,bronx,1/11
HARLEM/CENTRAL PARK NORTH VIEW  NO FEE ONE BEDROOM,,"$2,499",harlem / morningside,1/11
Renovated XL 2.5 Bed_Private Yard_Laundry_Private Entrance,,"$2,999",crown heights,1/11
Beautiful and no broker fee apartment!!!,,"$5,590",midtown east,1/11
Gut Renovated Jr 1 BR in Residential Flushing close to transport,,"$1,650",flushing,1/11
Small 3 Bedroom Apartment for rent,,"$2,550",bronx ny,1/11
Low Ranch,,"$4,500","oakland gardens, bayside",1/11
NO FEE 1 Bed Midtown W & Private Roof Deck!!!,,"$3,399",midtown west,1/11
Beautiful and No Broker Fee Apartment!!!,,"$4,700",midtown east,1/11
*NO FEE* Midtown East Gorgeous One Bedroom w/ updated features,,"$3,299",midtown east,1/11
CORNER UNIT_CITY VIEWS_2 MONTHS FREE!!!!,,"$3,511",financial district,1/11
1 bedroom,,"$2,400",throgs neck area,1/11
MASSIVE 3 bed 2 bath in PRIME Crown Hights!! *in unit laundry* No fee,,"$3,200",brooklyn,1/11
HUGE GORGEOUS 3 bed 2 bath @ MARIA HERNANDEZ PARK!! *No fee*,,"$3,200",brooklyn,1/11
AMAZING 2 bed plus HUGE basement @ PRIME BUSHWICK!! **No fee**,,"$3,200",brooklyn,1/11
Specious and Beautiful Apartment!!!,,"$4,300",east village,1/11
Specious and Beautiful Apartment!!!,,"$6,900",east village,1/11
large 2 Room apartment with,,"$1,700",grasmere,1/11
&& No Fee Bushwick 1BR PH With Huge Private Terrace! &&,,"$2,550",bushwick,1/11
No Fee- 2bed 2 bath Duplex- Crown heights,,"$2,900",crown heights,1/11
🌟 Massive 3 Bedroom Apartment! Prospect Park! King sized room! $2950,,"$2,950",brooklyn,1/11
🌟Awesome 3 bed 2 bath in Prime Bushwick! $3200!,,"$3,200",bushwick,1/11
🌟 Stunning 1 Bedroom apartment W/D in-Unit! $2200,,"$2,200",flatbush,1/11
🌟 Beautiful 2 Bedroom Apartment in Bushwick! $2800!,,"$2,800",bushwick,1/11
🌟Massive Crown Heights 3 bed 2 bath! $3250!,,"$3,250",crown heights,1/11
🌟 Huge Bedstuy 3 Bedroom! $2850,,"$2,850",bedstuy,1/11
🌟 Best 4 Bed on Market! Bushwick L/M Train! $3850,,"$3,850",bushwick,1/11
🌟 2 Bed + Home Office! Prime Bushwick! $3200,,"$3,200",bushwick,1/11
"Luxury 2BR,2Bth$2700,Hardwd,W/D,Terr,Dwntwn",,"$2,700",stamford,1/11
"Great Value*True 3 bed & 2 bath, Great natural light, lots of closet s",,"$2,700",crown heights,1/11
water views_______Massive studio flex 2__________24/7 doorman,,"$2,800",financial district,1/11
White glove service____Water/bridge views_______Washer & Dryer_____,,"$5,000",financial district,1/11
Freedom Tower views_________24/7 doorman__________gym,,"$4,650",battery park,1/11
spacious 3 bedroom 2 Bath in Bushwick No fee,,"$3,200",bushwick,1/11
NEW 2 BEDROOM ARTSY APT PRIVATE BALCONY HEAT AND HOT WATER INCLUDED,,"$2,750","no fee, j, m, z & g trains clinton hill/bed-sty",1/11
"☀️Beautifully Finished 1BR in Gorgeous Brownstone, blocks from J/Z 👑",,"$2,650","bushwick, brooklyn",1/11
Luxury 1 bed** No Broker fee ** Gym/Laundry room ** private balcony,,"$2,899",astoria,1/11
Bring All Your Stuff!  UES Studio in Elevator Bldg w/ Good Closet Spac,,"$2,300",upper east side,1/11
Steps from City College! Absolute Steal!,,"$2,250",harlem / morningside,1/11
Private Garden! No stairs! Huge apartment!,,"$2,799",harlem / morningside,1/11
SUNNY Studio! Laundry in building!,,"$1,675",east harlem,1/11
"Sun Filled Apartment for Rent, 4 Bedrooms, 2023 (1119J #2)",,"$3,390",brooklyn,1/11
"Brooklyn Apartment Ready February, 2023 (1119J #1)",,"$3,250",brooklyn,1/11
"3 Bed, 2 Bath Williamsburg Apartment with Private Backyard",,"$4,945",brooklyn,1/11
"3 Bed, Bright Sunny Apartment with Big Balcony, Williamsburg (451K #2)",,"$4,875",williamsburg,1/11
Magnificent 2 bed/2 Bath Duplex with private terrace in Crown Heights!,,"$3,000",brooklyn,1/11
** GUT RENOVATION ** 3BED ** WASHER/DRYER & DISHWAHSER IN UNIT ** UTIL,,"$3,650",astoria,1/11
----MASSIVE 1 BED----PRIME ASTORIA-----10 MIN TO MIDTOWN,,"$2,199",astoria,1/11
-----NO FEE------LUX 1 BED-----WATERFRONT LIC------FULL SERVICE BUILDI,,"$3,535",long island city,1/11
------->NO FEE------LUXURY DEVELOPMENT 2 BED 1 BATH----WATERFRONT----5,,"$5,100",long island city,1/11
---33RD FLOOR----NO FEE------1 MO FREE----SUN DRENCHED----- 5 MIN TO M,,"$2,999",long island city,1/11
2 Bed 2 Bath Duplex + Private roofdeck!!! No fre,,"$2,900",crownheights,1/11
"bushwick (2bd, 1 bath)",,"$3,000",bushwick,1/11
1 Bedroom For Rent with Terrace Dishwasher and Microwave Spacious,,"$1,850",yonkers ny north broadway,1/11
available march 1 $ 900 east village,,$900,east village,1/11
Greenpoint/Williamsburg-Months Free-Elevator-Gym-Parking-Balcony,,"$4,622",brooklyn,1/11
Luxury 2 Bed 2 Bath (Convertible 3) with Private Terrace in Upper East,,"$7,395",upper east side,1/11
電梯樓 Elmhurts 74st elevator building 2bed 2bath apartment for rent,,"$2,500",elmhurst,1/11
"WOW 4BR 2BA Laundry, Everything! Great Location, MH Park!",,"$4,199",bushwick @ dekalb l,1/11
